,research,materials,engineering,science,chemical,quantum,ieee,degrees,fusion,optics,phys,award,matter,laser,journal,sciences,syllabushist,energy,laboratory,school
HISURtest0.csv,5.927908415841584,-0.0,-0.2724319306930693,3.8806466584158414,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.941212871287128,-0.0,-0.0,0.20606435643564358,1.0769647277227723,-0.0,-0.0,-0.0,-0.1321163366336633
HISURtest1.csv,2.808216667892036,-0.0,-0.29021907063849944,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07454940207046692,20.04950495049505,-0.0,-0.0,-0.13680488330392435
HISURtest2.csv,0.13147352773106105,-0.0,-0.20221475351124435,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.049160540368383916,25.392448984709663,-0.0,-0.0,0.5389838276904934
HISURtest3.csv,2.179778971709974,-0.0,-0.2198565151328684,-0.185058561637355,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16911665709120102,-0.05042441305282538,1.4592490633398638,-0.0,-0.0,-0.09574448165523693
HISURtest4.csv,0.1446106299635097,-0.0,-0.1806946449804068,-0.14969415824450547,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9429331876438101,0.2286815584781731,-0.0,-0.0,-0.07622835328396674
HISURtest5.csv,0.35680341546474814,-0.0,-0.41250225909595567,32.982446069611214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4810716065418422,-0.0,-0.0,0.5425947351373541,-0.0782555804949463,-0.0,-0.0,-0.0,-0.16839776383895502
HISURtest6.csv,2.9595648996840542,-0.0,-0.28835347868414984,-0.2301731336680706,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.84105299181315,-0.05069080493858582,20.212485491414785,-0.0,-0.0,-0.1137382709622791
HISURtest7.csv,28.805204849012156,-0.0,-0.08227881788530239,-0.06457065459974871,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08102310231023102,0.6465346534653466,0.4775788320394689,0.44002745307774205,5.788394028247437,-0.0,0.11072607260726072,2.6747089414270544
HISURtest8.csv,0.13048122925386235,-0.0,-0.10396346466237495,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05294983482602105,-0.0,0.08727727408340985,-0.014019381855917766,10.099025047977431,-0.0,-0.0,-0.034338382403557105
HISURtest9.csv,2.3826016190904022,-0.0,-0.3917523593754987,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2616411220896744,-0.0,-0.0,2.302893314788568,-0.04736721160211988,27.878007154760596,-0.0,-0.0,-0.1240092563095467
HISURtest10.csv,0.8866457821663685,-0.0,-0.14344519246743734,1.5988268016428353,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1245973816432206,0.6215247131005449,0.20566638705954876,-0.0,-0.0,0.4255780618610266
HISURtest11.csv,-0.07474081134044037,-0.0,-0.31837409011970536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026129343530448403,5.380670853685672,10.525852585258525,-0.0,-0.08904521926275324
HISURtest12.csv,0.3289246139884259,-0.0,-0.21461558334440023,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25787206193072826,-0.0,-0.0,3.267232601499098,5.572879249066165,0.315336336564294,-0.0,-0.0,0.652226103056937
HISURtest13.csv,1.3668022245203095,-0.0,-0.21169530593318775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.273180485409218,-0.006102318088796093,3.6072503081884126,-0.0,-0.0,-0.05147582923265321
HISURtest14.csv,20.94994227217622,-0.0,-0.20387406913407308,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03594659345013256,-0.0,-0.0,0.18907652452972407,-0.0029940719202180923,41.64562687353281,-0.0,-0.0,1.073209902510603
HISURtest15.csv,3.766577632569378,-0.0,-0.21379501589905223,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00011030036131300935,27.836844513747167,-0.0,-0.0,-0.04346532527336735
HISURtest16.csv,3.4211227378993656,-0.0,-0.17081682509390522,2.2367995811668115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2089930219069904,-0.0,-0.0,-0.0,0.0023375405081044677,17.007714552218197,-0.0,-0.0,-0.03233145540300515
HISURtest17.csv,1.3968404241520511,-0.0,-0.11685061146231852,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.5991838090920365,-0.0,-0.0,0.861547245117045,0.003261967838063006,8.536014898285668,-0.0,-0.0,-0.0204756909993518
HISURtest18.csv,0.2715958209308962,-0.0,-0.13007046073704834,-0.09233937564125189,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16699424853390565,-0.0,-0.0,-0.0,0.0054863246052938965,9.550784326351094,-0.0,-0.0,-0.020963107441459003
