,history,physics,engineering,computer,publication,science,research,view,details,professor,faculty,award,pdf,quantum,studies,book,press,systems,hashimoto,tatsunori
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test114.csv,-0.0,-0.0,-1.3005877691931942,26.174921892946664,-0.0,4.1835476792368205,-4.242784137623045,-0.0,-0.0,0.133995584993147,-1.6731273606554014,0.8502222178464331,-0.0,-0.0,-0.0,-0.0,-0.0,0.22866497503789823,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test115.csv,-0.0,-0.0,-1.9686780973569467,12.20207405065189,-0.0,-4.060244233741121,-0.0,-0.0,-0.0,-1.2074905819360597,-1.0783008424356697,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test116.csv,-0.0,-0.0,9.330653664154143,13.505910449928647,-0.0,3.1660800993410856,10.940657219816538,-0.0,-0.0,0.5310726786208484,-0.2535925788554342,0.2572942331778295,-0.0,-0.0,0.2606660299807738,-0.0,-0.0,5.6969121484489555,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test117.csv,-0.0,-0.0,15.65115205580877,58.32898250394753,-0.0,-1.4817502683508952,-2.685841519113215,-0.0,-0.0,-0.0,-0.9289079368143979,-0.19652581121505136,-0.0,-0.0,0.9611207330181374,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test118.csv,-0.0,-0.0,-0.12498577625320124,-0.23637616423133465,-0.0,5.829402073950007,-0.1289362387030242,-0.0,-0.0,-0.0,-0.0,-0.0,0.09205990088343029,-0.0,-0.046496711554589995,-0.0,0.01819040251252618,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test119.csv,-0.0,-0.0,-1.5930821578106755,-3.0107990837822602,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test12.csv,-4.482055588345592,-0.0,-0.68854467707744,-0.0,-0.5431096536807286,-0.0,-4.582850436392071,-0.0,-0.0,-0.0,-0.0,-0.4923734610179056,-0.0,-0.0,1.4368170736038886,0.19463688902315068,0.10206962929611633,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test120.csv,-0.0,-0.0,-1.1217037404976626,31.380114725090507,-0.0,21.40455529163775,-4.205586530393952,-0.0,-0.0,-0.6810169492410711,-0.6311430728010206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2956599436026766,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test121.csv,-0.0,-0.0,-2.3377968542020313,7.406891071747852,-0.0,-4.824353404536406,-0.0,-0.0,-0.0,-0.0,-1.319224702824245,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test122.csv,-0.0,-0.0,-1.191735907700272,15.366116856609919,-0.0,-2.457048817941384,-4.509235295283674,-0.0,-0.0,-0.0,-0.6746694216253165,1.6199588134846332,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test123.csv,-0.0,-0.0,9.379561794885536,3.1169365921455903,-0.0,-0.2808349677349608,-1.7909492770407016,-0.0,-0.0,-0.29912900191016495,-0.26852766487036916,-0.16676323042325542,-0.0,-0.0,-0.035678451289346755,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test124.csv,-0.0,-0.0,-2.29872344938159,7.511488242955721,-0.0,-4.759595552333362,-0.0,-0.0,-0.0,-0.0,-1.3178490082206282,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test125.csv,-0.0,-0.0,-1.9379105073913223,6.378327982039947,-0.0,-4.008849495413895,-0.0,-0.0,-0.0,-0.0,-1.1146355726070545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test126.csv,-0.0,-0.0,-1.8594584431122438,12.566635099686499,-0.0,-3.562234980519207,-0.0,-0.0,-0.0,-1.1947187179235554,-1.0729302209730385,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test127.csv,-0.0,-0.0,-2.273926177353703,7.5930698339361555,-0.0,-4.695107580272445,-0.0,-0.0,-0.0,-1.4636671450249283,-1.3162663550734757,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
