,physics,history,research,theory,computer,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test39.csv,103.30264535086472,-0.0,19.917205448422614,-0.0,-0.0,1.0988260932599836,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3797925585938702,0.13430360790264478,0.04689663752856977,-0.0,-0.0,1.4764463831180237,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test4.csv,-0.0,264.69853852302504,7.852792479843249,-0.0,-0.0,77.21477357443185,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06394064887935563,-0.0,2.2637817367454725,4.996014437214387
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test40.csv,86.65764261044936,-0.0,19.97003981101111,-0.06911091681195224,-0.0,0.02046081942854109,-0.0,-0.0,-0.0,-0.0,1.1821045909154189,-0.0,-0.0,-0.0,-0.0,3.1341197612077494,-0.0,-0.0,1.482607349454729,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test41.csv,63.282126776147436,-0.0,20.00241755480367,31.226293918140847,-0.0,0.022013161095748298,-0.0,0.1627572054805849,-0.0,-0.0,35.67964539890245,-0.0,-0.0,-0.0,-0.0,0.9055557535650336,-0.0,-0.0,1.485771619293021,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test42.csv,44.73974125744819,-0.0,14.687251268558992,-0.0,-0.0,0.023565402270421695,-0.0,-0.0,-0.0,-0.0,8.996393391208347,-0.0,-0.0,-0.0,-0.0,0.8217089514145605,-0.0,-0.0,1.4889355904027184,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test43.csv,112.11648214957357,-0.0,20.064340971308127,-0.0,-0.0,5.913933194851331,-0.0,0.12279969240855294,-0.0,-0.0,10.415161526921807,-0.0,-0.0,0.13077527789440554,-0.0,2.680905380713129,0.13479622948008718,-0.0,1.4920992628120227,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test44.csv,112.21583635464054,-0.0,26.716279286608593,-0.0,-0.0,1.1251381974383672,-0.0,-0.0,-0.0,1.1344956445354744,3.1739722948555587,-0.0,-0.0,0.13137688758656269,-0.0,0.9116986357717036,0.13531981729672027,-0.0,1.4952626365491337,3.3465988905137873
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test45.csv,86.23898336850823,-0.0,42.1502914415492,-0.0,-0.0,1.1289178270089977,-0.0,3.1085415883760232,-0.0,0.11202626991062041,-0.0,-0.0,-0.0,0.13197847293755693,-0.0,0.9134580975867684,1.0668186165242908,-0.0,1.4984257116422481,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test46.csv,88.01475098793979,-0.0,26.800080193323073,-0.0,-0.0,0.033846040484898504,-0.0,-0.0,-0.0,3.0762226285621175,33.13622147449974,-0.0,-0.0,0.1325800339483731,-0.0,0.9152174360094271,-0.0,-0.0,1.5015884881195591,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test47.csv,85.57241012059318,-0.0,80.04261575573011,-0.0,-0.0,0.03539751564519691,-0.0,-0.0,3.007201376633176,-0.0,17.864388769283504,-0.0,-0.0,0.13318157061999597,-0.0,0.9169766510483327,5.318232897234079,-0.0,1.5047509660092593,0.21443512505055767
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test48.csv,99.57625411684069,-0.0,26.418727686512394,-0.0,0.034968271594758585,5.7243275012532395,-0.0,-0.0,-0.0,0.11432487664566345,-0.0,-0.0,-0.0,0.13378308295341032,-0.0,0.9187357427121388,2.8017185484011438,-0.0,1.5079131453395367,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test49.csv,45.187982976837624,-0.0,52.3352079408205,-0.0,-0.0,4.09872301287959,-0.0,-0.0,-0.0,0.11492715192200648,1.0262278411806236,-0.0,-0.0,0.13438457094960088,-0.0,0.9204947110094971,0.14025457071070654,-0.0,1.5110750261385772,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test5.csv,-0.0,113.74282238137211,-2.2301946625828775,-0.0,-0.0,-0.9052389518765237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.14647173755838658,-0.0,4.701969685243959,9.134560987454067
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test50.csv,45.24521519300745,-0.0,20.747776444090068,-0.0,-0.0,1.2600230799176453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.055498598370397265,-0.0,-0.0,1.5170025417699202,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test51.csv,114.80582457611656,-0.0,26.546580435280294,-0.0,-0.0,0.04761883331656513,-0.0,0.08835921932550692,-0.0,-0.0,0.15531874994468522,-0.0,0.3285801874781569,1.5018374302992301,-0.0,0.05582332948746692,0.14118781116128112,-0.0,1.5201635644681155,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test52.csv,112.9761955914835,-0.0,15.009972640595464,-0.0,-0.0,0.04916941688007208,-0.0,-0.0,-0.0,0.115529402830257,-0.0,-0.0,-0.0,-0.0,-0.0,0.9237886257288377,-0.0,-0.0,1.523324288744268,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test53.csv,195.29415422023087,-0.0,33.60216331654038,-0.0,-0.0,3.063239972790966,0.01163481156942363,3.615091892946145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05689207994194831,1.0785541610705864,-0.0,1.5264847146265503,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test54.csv,101.92407619549348,-0.0,26.659654784691778,-0.0,-0.0,0.05388787469007149,-0.0,-0.0,-0.0,-0.0,0.15591936660654387,-0.0,-0.0,-0.0,-0.0,0.926314688214414,1.0805874151475845,-0.0,1.529644842143134,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test55.csv,65.03856503171994,-0.0,20.501353779483928,-0.0,-0.0,0.05543805242033619,-0.0,-0.0,-0.0,-0.0,20.263996710743527,-0.0,-0.0,0.1362604520886898,0.13490507483836578,0.9280731249945121,-0.0,-0.0,1.5328046713221857,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test56.csv,152.84650395715053,-0.0,51.39928979912086,3.006954705448916,-0.0,0.05698812979815198,-0.0,-0.0,-0.0,-0.0,0.15994838256086108,-0.0,-0.0,-0.0,-0.0,5.410421778190085,5.5568472262114375,-0.0,1.5359642021918714,0.42391482702227706
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test57.csv,54.67432565356146,-0.0,20.99142831028279,-0.0,-0.0,0.058538106830015084,-0.0,0.12745523736265546,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.060205654241760706,-0.0,-0.0,1.5391234347803529,3.3588090388875043
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test58.csv,91.60635821808003,-0.0,42.20808931253745,5.871109519800209,-0.0,0.060087983522422096,-0.0,-0.0,-0.0,-0.0,0.16054881190751635,1.5278153214712105,-0.0,-0.0,0.13550651743869982,2.5730511608238427,2.822456442477384,-0.0,1.5422823691157903,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test59.csv,130.6026489531007,-0.0,15.58785480487428,-0.0,-0.0,0.06163775988186785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06164072980775452,-0.0,-0.0,3.7290710390512483,0.2643399397445094
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test6.csv,-0.0,130.78704735160966,-1.0711900613790086,-0.0,-0.0,-0.7830749819938422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.466823220191913,-0.0,10.705355950296088,8.221358043634844
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test60.csv,76.05766112164265,-0.0,61.13709324447527,-0.06025159025180887,-0.0,3.2590134337695176,-0.0,-0.0,-0.0,-0.0,0.12200836990712693,-0.0,-0.0,0.13686183985038186,0.13610793570463142,0.9375384366889535,2.8294475365555627,-0.0,1.5534245705002088,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test61.csv,75.34887110507262,-0.0,42.372145457314375,-0.059642251601519196,-0.0,0.06723499934855064,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5809735389767794,2.833885096445794,-0.0,1.5565821547111633,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test62.csv,76.21484954854404,-0.0,20.766730954191523,-0.0,0.03557375764393116,0.06878431303811856,0.012163050296275167,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0878341157298532,0.06381914873723478,0.15097553869588892,-0.0,1.5597394408246918,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test63.csv,78.68239418185937,-0.0,61.318729270720496,0.7093990657281664,0.0361792191951033,6.268243842129701,0.9086419985469323,0.12805698138384455,0.20874108719741127,-0.0,5.4704845137773175,-0.0,-0.0,-0.0,-0.0,0.9426872741117168,-0.0,-0.0,10.578390450023674,0.26622191109406623
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test64.csv,-1.4849688451396916,-1.1034237618438476,28.21264371715664,-0.0,52.665311036516485,45.37107733552931,24.734053528818837,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22363873723913305,-0.0,48.543757906042,-0.0,0.6430315600111516,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test65.csv,-0.0,-1.102622654321342,7.775302945926309,-0.0,71.79104145203117,63.30321191028901,24.76147688050944,-0.0,0.92598252963181,-0.0,-0.0,-0.0,-0.0,-0.0,29.39900926751482,-0.0,33.15501291712337,-0.0,0.6453610305560621,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test66.csv,-0.0,-1.1018215998229453,-1.0421606257037672,-0.0,13.075881555849412,9.37032064036647,14.149023621064881,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22956731940875272,-0.0,-0.0,-0.0,0.6476902207661135,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test67.csv,-0.0,-1.101020598345148,-0.9621258115852184,-0.0,23.391508460847053,18.490634901744812,24.812696250030076,0.971946766834988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23072733949111704,-0.0,0.7729059829113634,-0.0,0.6500191306750424,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test68.csv,-0.0,-1.1002196498844414,-0.9579077067961718,-0.0,23.417942169037538,18.516934072267265,38.42344774897322,0.5909225449655654,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2318872618534878,-0.0,4.481670342788015,-0.0,0.6523477603165805,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test69.csv,-0.0,-1.0994187544373155,7.82536304060166,-0.0,52.860902318061065,18.543221216115988,24.86960556176638,0.5928080953782846,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23304708650409708,0.8069963538343002,0.7781855248034968,-0.0,0.6546761097244561,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test7.csv,-0.0,100.77008827334294,11.111305338089208,-0.0,-0.0,-0.46883715612287963,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11074294225400633,-0.0,2.8235799610347665,2.1905247235749776
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test70.csv,-0.0,-1.0935061796124623,-0.9355326693543539,-0.0,13.157091720570147,9.451827380323188,14.233082717107678,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23420681345117597,-0.0,-0.0,-0.0,0.6607560346220734,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test71.csv,-0.0,-1.092705728519896,-0.9313187249442545,-0.0,23.496643677170262,9.468770398109488,14.251569261519093,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.1443152820928573,-0.0,-0.0,-0.0,0.6630833721552131,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test72.csv,-0.0,-0.5166685572130045,67.22508835589785,-0.0,53.96095599149245,113.95678193816528,57.108382772400724,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23779724313890085,-0.0,125.80630220615005,-0.0,4.650491514210452,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test73.csv,-0.0,-1.0899516662476862,-0.9157201282031646,-0.18872301451568393,23.5525179047274,18.645221709238278,14.293510648721025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2389565699331874,-0.0,-0.0,-0.0,4.658552256189282,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test74.csv,-0.0,-1.0891514504230455,-0.9115092833771001,-0.0,23.578875076465668,18.671450186843085,24.998394864332795,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2401157990658829,-0.0,139.80695187409893,-0.0,0.6736768872290367,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test75.csv,-0.0,-1.0883512875634933,-0.9072990973189998,-0.0,13.2584894343795,9.54529003199393,25.02568937920709,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2412749305452145,-0.0,-0.0,-0.0,4.671146382641859,-0.02351850260267253
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test76.csv,-0.0,-1.0875511776655251,-0.9814775276435878,-0.0,13.276012733602705,9.562200431881678,14.354422073589776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24243396437940845,-0.0,0.7904782989090402,-0.0,0.6801338980033375,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test77.csv,-0.0,-1.0867511207256344,-0.9775691750261876,-0.0,53.161119709882016,30.83697346066304,25.07667986594727,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.163118614375681,-0.0,0.9223340995205365,-0.0,0.682458903551378,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test78.csv,-1.4828584581221904,-1.085951116740316,-0.8072104317602691,3.11158016804561,23.679994954321447,30.872699154407,40.442710490621664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2460221170215178,-0.0,-0.0,-0.0,0.6847836293018891,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test79.csv,-0.0,-1.0851511657060657,2.076523418404152,-0.0,37.00817753106505,18.799728716446193,25.13345112678484,0.5946934415699375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4272886668940694,-0.0,-0.0,-0.0,0.6871080752885429,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test8.csv,-0.0,188.21439725964703,-0.14712416239800774,-0.0,-0.0,1.1869271102918433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.426866119486852,-0.0,3.3258809644726655,0.40022188156752586
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test80.csv,-0.0,-1.082181237593,-0.8838722892814926,-0.0,23.734808870596932,18.839062824930163,14.438195915868057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24849259483648586,-0.0,-0.0,-0.0,0.6931236489575809,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test81.csv,-0.0,-1.0813815360814139,30.10083048474173,-0.0,74.81252096853345,65.11946190563506,25.86630686511318,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24965102065525147,-0.0,20.78450599881989,-0.0,0.6954470912834503,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test82.csv,-0.0,-1.080581887500875,8.866110087115525,-0.0,5.944293577543756,3.429073415153528,26.58534966383342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2508093488883243,-0.0,-0.0,-0.0,0.6977702539999127,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test83.csv,-0.0,-1.0797822918478799,-0.8601055602894054,-0.0,23.807304308103443,18.912053958925334,25.23920298253422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25196757954392474,-0.0,-0.0,-0.0,0.7000931371406173,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test84.csv,-0.0,-1.0789827491189263,67.60848386797593,-0.0,23.83354036615473,31.07962279293314,40.645264001491505,35.44125779158632,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25312571263027306,-0.0,11.206830668100569,-0.0,0.7024157407392092,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test85.csv,-0.0,-1.07818325931051,-0.9252164844994895,-0.0,23.85976395279593,18.96693405283394,38.980432794414384,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2542837481555882,-0.0,-0.0,-0.0,0.7047380648293291,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test86.csv,-0.0,-1.0773838224191286,-0.8405222001240719,-0.0,13.47527521461666,4.325233713208707,14.566038715821938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2554416861280888,-0.0,-0.0,-0.0,0.707060109444614,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test87.csv,-0.0,-1.0765844384412804,-0.8363231196797472,3.1187043564177963,72.74886788146782,85.2380342825607,75.2341841169179,0.6029209908972408,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2565995265559927,-0.0,170.15627059647036,-0.0,0.7093818746186965,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test88.csv,-0.0,-1.075785107373462,28.79113180134074,-0.0,23.93720673790676,19.039402671325238,39.08064047645029,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25775726944751703,-0.0,-0.0,-0.0,0.7117033603852051,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test89.csv,-0.0,-1.0749858292121721,-0.8212972762319469,-0.0,14.03747334308938,3.518610732259781,40.8205903555241,4.141737180386037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25891491481087836,-0.0,-0.0,-0.0,0.714024566777765,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test9.csv,-0.0,245.41861459328965,17.945550142433344,-0.0,-0.0,3.9640203423232556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.6796116181559857,-0.0,2.680327345438596,10.035789613674567
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test90.csv,-0.0,-0.9871610419150827,2.0440066296997146,-0.0,12.942649858640507,9.475253951239932,13.492585963425324,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23948339269416083,-0.0,-0.0,-0.0,0.6631055173076572,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test91.csv,-1.3635223926196636,-0.9864304414526435,2.0542352628352045,-0.0,22.10874774557274,28.830294784045375,23.44482960982599,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.949830419781464,-0.0,-0.0,-0.0,0.6652483469267501,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test92.csv,-0.0,-1.0704433145910577,-0.8754865884689604,-0.0,24.036543287577427,31.34577810553341,14.693167285416191,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.26367883123175295,-0.0,-0.0,-0.0,0.7247684406373431,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test93.csv,-0.0,-0.9849642091204375,101.12938995330695,0.08918284863961476,22.157708971239746,17.663426603215274,51.483381176755465,31.22941114295035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.957416677006462,-0.0,103.94410398765463,-0.0,4.3930775242093185,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test94.csv,-0.0,-1.068851123133221,-0.8607827975772269,-0.0,13.63257452592258,9.935273275372525,14.736315436030438,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2672825225218551,-0.0,0.8200561484747948,-0.0,0.7312527664815658,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test95.csv,-0.0,-1.0680523039219805,-0.7735212460889554,-0.0,6.119840873200965,3.605562533118068,25.567499487383532,0.6148377302850802,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.2199105341517122,-0.0,-0.0,-0.0,0.7335716202451065,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test96.csv,-0.0,-1.0672535375833894,-0.7693326476461998,-0.0,37.528105458357814,64.68772344341821,25.594516627447568,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.27086379777702124,-0.0,33.43085137722184,-0.0,4.493213994842127,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test97.csv,-0.0,-1.0664548241139478,-0.7651447044910614,-0.0,6.144770703203269,3.6300418616112475,39.37854026034237,4.165568077794273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2720203390475464,-0.0,4.58821429541567,-0.0,0.7399224932576358,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test98.csv,-0.0,-1.0656561635101567,2.5517365981027553,-0.0,77.87940000142918,33.05890125238903,76.91379331333833,0.7405952922499478,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2731767828911329,-0.0,5.19418883477231,-0.0,0.7422403036825349,-0.0
C:/Users/huang/Dropbox/AlexXuRichard\School tests/UB p&h&cs\test99.csv,-0.0,-1.0648575557685167,-0.7543165743117141,-0.0,24.203630653023097,19.322585219184074,14.84162729278139,0.622146276907024,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2743331293159881,-0.0,-0.0,-0.0,0.744557835175786,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test0.csv,-0.0,51.622087345845266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21864620114269734,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20797979525368304,1.8822189773211773
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test1.csv,-0.0,38.66514308075771,-3.364765915398363,-0.0,-0.0,-1.2334596348187,-0.0,-0.0,-0.0,-0.25859690480558173,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.23277561941993,-0.0,4.146437462902362,10.872015796525458
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test10.csv,-0.0,72.70814156070352,-1.6895808918892523,-0.0,-0.0,-0.0,-0.0,-0.22255449458851556,-0.0,-0.17480355556699606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16257664999064267,1.5127145466444096
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test100.csv,-0.0,-0.0,-8.020319162012312,-0.0,14.684038535759871,1.569108912663274,21.12752660677304,3.5441212410286846,-0.0,-0.5733934150789094,-0.0,-0.10687995034737097,-0.0,-0.0,0.1089989422098292,-0.0,-0.4435395758922901,2.7744848417690187,-1.067538892538927,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test101.csv,-0.0,-0.0,-6.925412444163172,-0.0,15.24281004498394,0.7432348235062904,26.141984683093817,-0.0840052708830133,-0.0,-0.49572284192167615,-0.0,-0.09184630554045947,-0.0,-0.0,0.09782420054324435,-0.0,-0.3832305109094447,-0.0,-0.9217528276560345,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test102.csv,-0.0,-0.0,-2.8129531788410294,-0.0,35.013337446429794,14.02513528447164,16.685994322934885,-0.4566732690336131,-0.0,-0.31612254466124523,-0.0,-0.05821634767368816,-0.0,-0.0,-0.3986967819847097,-0.0,14.38230428090315,-0.0,0.06725421131073127,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test103.csv,-0.0,-0.0,-8.235944523321638,-0.0,2.498244389542226,-1.8730388614252542,20.183436838670907,-0.09359796978593868,-0.0,-0.5912563770957254,-0.0,-0.10822457767436883,-0.0,-0.0,-0.7447908956389486,-0.0,-0.4545728790689076,-0.0,-1.0953038643189532,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test104.csv,-0.0,-0.0,-8.222590747441128,-0.0,2.5075112087669735,0.9448337239645447,20.197820566279056,-0.8510857046146177,-0.0,-0.5910340661505387,-0.0,-0.1075196661133404,-0.0,-0.0,-0.7435587424784221,-0.0,-0.45412831323855385,-0.0,-1.0934776879640324,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test105.csv,-0.0,-0.0,-3.4390080368366043,-0.0,23.919726555461228,6.626059514401048,13.106092583294927,-0.3560101803740098,-0.0,-0.2475022297651139,-0.0,-0.044746772170962755,-0.0,-0.0,-0.3109747629913849,-0.0,-0.19005672896200138,-0.0,-0.45731366797889844,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test106.csv,-0.0,-0.0,-8.198772011040136,-0.0,2.5332989659637977,-1.8282192693709916,20.243958979643985,-0.08446074695873547,-0.0,-0.5906189549377799,-0.0,-0.10612085581164425,-0.0,-0.0,-0.7411877461019916,-0.0,-0.4532732791305148,0.06627326080681692,-1.089990010024102,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test107.csv,-0.0,-0.0,-4.66342465196155,-0.0,40.92617459367459,0.5983113650703898,12.077040942233317,-0.504655589270055,-0.0,-0.35196726267388645,-0.0,-0.0628443358034422,-0.0,-0.0,0.07928279468089613,-0.0,-0.2699556787861388,-0.0,-0.648713870029197,-0.006178359276260571
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test108.csv,-0.0,-0.0,-8.170628962254876,-0.0,2.5501421550100303,1.0219973867984757,20.28342573506702,-0.8453384044642195,-0.0,-0.5901949169987263,-0.0,-0.10471918024685105,-0.0,-0.0,-0.7378285523495419,-0.0,-0.4524080729331166,-0.0,-1.086453967501782,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/Van p&h&cs\test109.csv,-0.0,-0.0,-8.157314411574042,-0.0,2.5593733546291033,1.039994043236243,20.2976764987172,-0.8440846856918137,-0.0,-0.5899726971190934,-0.0,-0.10401487016101595,-0.0,-0.0,-0.7365978924850196,-0.0,-0.4519637856896883,-0.0,-1.084630068917147,-0.0
