,physics,history,research,theory,computer,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test115.csv,-0.0,-0.0,-0.0,-0.0,12.077350317094938,-6.62663821082495,-1.983474196762307,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test116.csv,-0.0,-0.0,6.67531554665758,-0.0,13.47242242573736,2.3895310619794246,9.319860520231908,4.780865916229203,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16148569465603663,-0.0,0.16765218111612162,0.0615820498570975,-0.25429526469306446,0.24649064655349745
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test117.csv,-0.0,-0.0,-5.82224890001852,-0.0,58.16970434270287,-2.4355862491348366,15.60841818498237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.36172396128239703,-0.0,-0.9323742367943729,0.9079447421560853
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test118.csv,-0.0,-0.0,-2.2940086620236073,-0.34490661802973116,-0.2404552578297788,4.68203246400083,-0.12584301460685515,-0.0,-0.0,-0.15711750835649485,-0.0,-0.0,-0.0,-0.0,0.06527646253393643,-0.0,-0.0,-0.0,-0.0,-0.0554547412518279
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test119.csv,-0.0,-0.0,-0.0,-0.0,-3.063626821547669,-0.0,-1.6041450713746028,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test12.csv,-0.0,-4.895495599880635,-12.988582344587957,-0.0,-0.0,-0.0,-0.6934252878319606,-0.0,-0.14604952205869406,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7722931850456798,-0.0,-1.7556856090591557,1.3370566261132184
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test120.csv,-0.0,-0.0,-8.831809175815653,-0.0,31.207117079054836,16.622709439220834,-1.1396320713249777,-0.1061807807395904,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.030027729714512206,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test121.csv,-0.0,-0.0,-0.0,-0.0,7.226788465917794,-8.008831655685638,-2.3773510591532703,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test122.csv,-0.0,-0.0,-9.839716184075412,-0.0,15.218110362714773,-4.088012965997142,-1.2131525161769956,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6283463338108868,-0.0,1.0570101151327205,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test123.csv,-0.0,-0.0,-3.913555290850146,-0.0,3.0678524027731218,-1.2096271510005001,9.339780809996185,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,93.38825967731228,-0.0,-0.2631254171873956,-0.0,-0.0,-0.055950046585416434
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test124.csv,-0.0,-0.0,-0.0,-0.0,7.303234275450498,-7.956952387986314,-2.348926463838473,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
