,history,physics,university,engineering,computer,research,science,vanderbilt,rochester,ub,faculty,professor,award,buffalo,department,studies,arts,graduate,information,latin
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test113.csv,-0.0,-0.0,-13.101403122960797,-2.7220218267095024,7.9684218589722455,-7.195181631217717,3.6350736542974396,-0.0,15.276400396242545,-0.0,-1.1569000520373927,-0.0,18.699982722916754,-0.0,-1.6492155643953126,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test114.csv,-0.0,-0.0,-11.846919064292235,-2.118135714758516,23.491163403245412,-5.625685990840341,4.459031096299844,-0.0,22.309838500535246,-0.0,-2.4395291167919186,0.3069220846686456,0.5779371446554041,-0.0,-1.282532304515059,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test115.csv,-0.0,-0.0,-18.43971129352569,-3.2072549282936587,9.534502107692823,-0.0,-3.843484680582407,-0.0,9.462283860030096,-0.0,-1.368647874440938,-1.0967419040522464,-0.0,-0.0,-1.9407411838605904,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test116.csv,-0.0,-0.0,1.85404114893462,8.52869466109899,12.833156270866098,10.166015497863206,3.233331181369197,-0.0,4.925255379639134,-0.0,-0.3851331067490942,0.5737351067353493,0.20910624681104645,-0.0,1.4077944790501558,0.32454129197666576,-0.0,-0.15878657024733628,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test117.csv,-0.0,-0.0,-2.558568926277392,13.538328857363412,55.71428513150827,-3.2469604713156457,-1.394689703879151,-0.0,6.762444470125442,-0.0,-1.4110492857716395,-0.0,-0.2841207095607237,-0.0,1.881492580792378,1.1970539715211534,-0.0,-0.5807293246052361,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test118.csv,-0.0,-0.0,-2.2403172782795657,-0.16077103333532528,-0.30007177562622345,-0.5145735579108683,5.936237099180955,-0.0,-0.08985933531369718,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007319597988037711,-0.1434972624598854,-0.0,1.2551350967849844,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test119.csv,-0.0,-0.0,-28.5188959978707,-2.04916211963142,-3.821815455001966,-0.0,-0.0,-0.0,-1.1417694434618038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.82185425464986,-0.0,-0.5818828675988552,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test12.csv,-0.10871341098349534,-0.0,-12.284843550593411,-0.885582393434455,-0.0,-6.069618669143531,-0.0,-0.0,-0.49168375938719505,-0.0,-0.0,-0.0,-0.6397205046866054,-0.0,-1.3641487088854283,1.8700551150395792,-0.7836976801093221,-0.8859231508112106,-0.25151919810619494,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test120.csv,-0.0,-0.0,-5.23630807449792,-1.8344605593640306,28.792026720862527,-5.018488973116006,21.873201609468673,-0.0,17.4865087844893,-0.0,-0.8008438093988286,-0.5876508780446326,-0.0,-0.0,7.399160835302018,-0.0,-0.0,-0.0,-0.576425272840426,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test121.csv,-0.0,-0.0,-22.02878923383619,-3.82471927207323,4.83462071412772,-0.0,-4.504049868684825,-0.0,11.84928167935753,-0.0,-1.673861348587875,-0.0,-0.0,-0.0,-2.307456491625845,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test122.csv,-0.0,-0.0,-10.754562453928166,-1.950188948695499,13.344691056008406,-5.441484183550554,-2.2894852944225828,-0.0,12.656119475851042,-0.0,-0.8559712148026627,-0.0,1.3256019942591373,-0.0,-1.1758124364285922,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test123.csv,-0.0,-0.0,-1.81789999929713,8.040568520942841,2.482059069763282,-2.1602787508725365,-0.18364259981491984,-0.0,2.4255317689280886,-0.0,-0.34067244226994525,-0.2705057618496768,-0.21650754934435312,-0.0,-0.46646514361354213,0.051273534690934146,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test124.csv,-0.0,-0.0,-21.757409279544866,-3.7682826094608943,4.988924251652723,-0.0,-4.417452153936744,-0.0,11.951042526408964,-0.0,-1.671865285355278,-0.0,-0.0,-0.0,-2.2822992152337047,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test125.csv,-0.0,-0.0,-17.829790283540092,-3.1776067488007693,4.257026124824164,-0.0,-3.713296878716172,-0.0,10.13051162239797,-0.0,-1.4139561048807125,-0.0,-0.0,-0.0,-1.9233451096035126,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test126.csv,-0.0,-0.0,-17.57133385454099,-3.049870079635504,10.074949126958472,-0.0,-3.2512655447246432,-0.0,9.776233345947738,-0.0,-1.3609614057074841,-1.0796071573355202,-0.0,-0.0,-1.8448322580123269,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test127.csv,-0.0,-0.0,-21.480274865913845,-3.7308206568347617,5.116842817238275,-0.0,-4.331791914953478,-0.0,12.024623361536118,-0.0,-1.6695145241500704,-1.321552299328215,-0.0,-0.0,-2.2552510814957656,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test128.csv,-0.0,-0.0,-21.386934913470295,-3.717929411795212,5.1586328102649155,-0.0,-4.302916455141444,-0.0,12.045829809489284,-0.0,-1.6686888008098029,-0.0,-0.0,-0.0,-2.2460204324575157,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test129.csv,-0.0,-0.0,-21.29380499692333,-3.705051220446634,5.200319362714755,-0.0,-4.274086478726955,-0.0,12.066986152198636,-0.0,-1.6678632632758668,-0.0,-0.0,-0.0,-2.2367980918342423,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test13.csv,62.93334795335756,-0.0,-5.098493569306602,-0.3483770375134265,-0.0,-2.40081662519911,-1.1310246159266724,-0.0,-0.18131978473837376,-0.0,-0.0,-0.0868676859089826,-0.0,-0.0,-0.5299471397873453,5.110944894118981,-0.3137168273383928,2.804094703391012,-0.19907038932855245,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test130.csv,-0.0,-0.0,-21.139906935343166,-3.689808100023407,5.241902730628826,-0.0,-4.224618481953197,-0.0,12.100334600250317,-0.0,-1.6670379115064526,-0.0,-0.0,-0.0,-2.2217065119677954,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test131.csv,-0.0,-0.0,-21.047332887333837,-3.6769583843505664,5.2833831694144,-0.0,-4.195911837179645,-0.0,12.121362162513453,-0.0,-1.6662127454597593,-0.0,-0.0,-0.0,-2.2125060560614345,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test132.csv,-0.0,-0.0,-16.418965205201637,-2.9855806284056357,10.324760933846541,-0.0,-3.395537371024219,-0.0,9.893758552897578,-0.0,-1.3569826234099212,-0.0,-0.0,-0.0,-1.7952927922465656,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test133.csv,-0.0,-0.0,-15.945466428313424,-2.975691535477909,10.366036278069693,-0.0,-3.3732108654141744,-0.0,9.915140205848544,-0.0,-1.3563671150447925,-1.069299114090849,-0.8626107762831634,-0.0,0.5361847780033754,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test134.csv,-0.0,-0.0,-16.917900569509182,-2.9658106018677786,10.407209455599226,-0.0,-3.3509130150185227,-0.0,9.936480695001201,-0.0,-1.3557517195341502,-0.0,-0.0,-0.0,-1.7775010005236145,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test135.csv,-0.0,-0.0,1.9033725060839783,29.177067856529415,39.24499516676741,1.4759885005418725,0.11609454081995169,-0.0,18.195593201399774,-0.0,-0.34846365519187755,-0.25061281323209683,-0.0,-0.0,11.210054343353045,0.8490247436392242,-0.0,-0.39607658602266416,0.4974647001877469,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test136.csv,-0.0,-0.0,-16.767525563892335,-2.9263809461373023,10.531832711484455,-0.0,-3.301840090684201,-0.0,10.015159320613192,-0.0,-1.3547058421277098,-1.0631935439004743,-0.0,-0.0,-1.7477485643980772,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test137.csv,-0.0,-0.0,-15.932367422218352,-2.9165406978319077,10.572595501802564,-0.0,-3.279633841942948,-0.0,10.036307253714321,-0.0,-1.3540907512142286,-0.0,-0.0,-0.0,-1.7405995005444665,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test138.csv,-0.0,-0.0,-20.401234359947733,-3.5673241523031005,5.613257394124833,-0.0,-3.997787024541682,-0.0,12.343190489557585,-0.0,-1.6610839033238496,-0.0,-0.0,-0.0,-2.127422879830635,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test139.csv,-0.0,-0.0,4.658645259403897,-1.6638546001842864,21.50652264183298,-2.711601518286231,4.624356219108607,-0.0,20.0709281362709,-0.0,-0.7771430147954353,-0.6091741736437155,-0.0,-0.0,-0.9915480921053318,-0.0,-0.0,-0.0,-0.0,-0.0
