,physics,history,research,theory,mit,computer,engineering,systems,science,areas,quantum,experiment,data,show,submenu,matter,software,professor,award,faculty
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test114.csv,-0.0,-0.0,-14.481917256156224,-0.0,-2.294181304395491,24.235997464750888,-1.8550478156902914,-0.9015883830838716,0.21342864025091188,-0.0,-0.0,-0.0,-0.821962624786151,-0.0,-0.0,-0.0,-0.0,-0.9042189423757755,0.052598473092462766,-2.428207756489408
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test115.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.26347943612015,-2.8109927407451707,-0.0,-7.073592158750812,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8644926412039475,-0.0,-1.3649977281078955
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test116.csv,-0.0,-0.0,5.1728002812505585,-0.0,-0.0,13.014113105019621,8.783620431100262,4.6595272445958145,2.2555597156030704,-0.0,-0.0,-0.0,0.11484546724335523,-0.0,-0.0,-0.0,0.03892219231710301,0.279540548799808,0.11488866773974159,-0.3835730464837516
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test117.csv,-0.0,-0.0,-6.9212338021147355,-0.0,-0.0,56.38105715326582,14.192010949547074,-0.0,-2.5971392409706215,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45815864629750064,-1.4062894561362085
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test118.csv,-0.0,-0.0,-3.0513961899270847,-0.5434861981531279,-0.0,-0.28411026171894543,-0.14987594590491105,-0.0,4.48918711760156,-0.24337058903940093,-0.0,-0.0,0.01301370125638733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test119.csv,-0.0,-0.0,-0.0,-0.0,-0.0,-3.619698813216904,-1.9104777619380449,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test12.csv,-0.0,-2.0885144713214365,-15.92186076136886,-0.0,-0.0,-0.0,-0.8258060257417567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9349805965859972,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test120.csv,-0.0,-0.0,-10.441961710592299,-0.0,-0.0,29.43109445149807,-1.6185871970858814,-0.2885263280854307,15.834903881706133,-0.0,-0.0,-0.0,-0.18152780642899924,-0.0,-0.0,-0.0,-0.0,-1.2213961744915822,-0.0,-0.7995439366170914
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test121.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.458256591741513,-3.3771974266360707,-0.0,-8.526735299928355,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6713564659912334
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test122.csv,-0.0,-0.0,-11.691644333727533,-0.0,-0.0,13.82564471935188,-1.7236216045984112,-0.0,-4.350492315319844,-0.0,-0.0,-0.0,-0.7717558454846599,-0.0,-0.0,-0.0,-0.0,-0.0,0.7311435345080052,-0.8548326748254048
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test123.csv,-0.0,-0.0,-4.649546870871295,-0.0,-0.0,2.6296117293652586,8.437962484370576,-0.0,-1.3578043745863695,-0.0,-0.0,-0.0,92.52617773694317,-0.0,-0.0,-0.0,-0.0,-0.46355740830744596,-0.31847736858793996,-0.3402633787996466
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test124.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.558398373642401,-3.340538282901213,-0.0,-8.461810527360717,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6700350870762386
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test125.csv,-0.0,-0.0,-0.0,-0.0,-0.0,4.726066923711281,-2.819606488776051,-0.0,-7.140165947654336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4126438082212467
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test126.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.613669742007396,-2.7087178174613955,-0.0,-6.79202898819481,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.852570994065149,-0.0,-1.3599092599133287
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test127.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.6405325784959075,-3.3164831589591675,-0.0,-8.393590253405058,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2710567375024344,-0.0,-1.6684788146238971
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test128.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.667351377547554,-3.3082232224144104,-0.0,-8.370228832872444,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6679320964697055
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test129.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.6941262113548525,-3.2999688253203927,-0.0,-8.346891783419373,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.66738545979363
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test13.csv,-0.0,60.38630838337724,-6.368585212477559,-0.0,-0.0,-0.0,-0.327096229969002,-0.0,-1.9669447802950841,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5413836825942682,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test130.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.720857151991975,-3.2901593182043265,-0.0,-8.309008496393146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6668389045835263
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test131.csv,-0.0,-0.0,-0.0,-0.0,-0.0,5.747544271414942,-3.2819170355021043,-0.0,-8.285735313162927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6662924308272544
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test132.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.774187641461797,-2.6674431914461865,-0.0,-6.732396333227821,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.357274549899217
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test133.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.800787333852849,-2.661067539429003,-0.0,-6.714773166945782,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8450831338908438,-1.2716076611027298,-1.3568668662866001
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test134.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.827343420190793,-2.6546953713746704,-0.0,-6.697164980890089,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.35645923218019
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test135.csv,-0.0,-0.0,-4.9319240438655,-0.0,-0.0,39.52696653288715,29.74834567953353,-0.0,-1.1764062511833095,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5301484983500053,-0.0,-0.34869899509045077
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test136.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.908729797316894,-2.6290634862971616,-0.0,-6.660721143777216,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8407190684287182,-0.0,-1.3557664382242371
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test137.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.935108928796701,-2.622708806796453,-0.0,-6.64315890358214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3553589377460074
