,research,theory,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies,group,press,programs
0,-0.0,-0.0,-0.0,-1.6519281914893618,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.554438164893617,-0.7385305851063831,-0.0,-0.0,-0.0
1,-2.573404255319151,-0.0,-0.0,-0.4403523081475403,-0.0,1.3164228723404254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.144636524822694,-0.0,-1.1027139986336671,-0.0,-0.0,4.030341312056738,-0.1450132978723404
2,-10.696342988462712,-0.0,-0.0,-0.5515704889091769,-0.0,-0.1103734170782638,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5947156848662916,-0.0,-0.0,-0.0,-1.4041244860847746,-0.1245943566850535,-0.0,-0.0137708792223293,-0.1922517511833792
3,-6.772392146046721,-0.0,-0.0,-0.3528381562516962,-0.0,-0.0681905003227774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.300288698675055,-0.0964210768763375,-0.0,-0.0,-0.184829438435
4,-0.0,-0.0,-0.0,-2.4565645149069653,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.9383664917403896,-0.0,-0.0,-0.0,-0.0
5,-8.997271524922242,-0.0,-2.556850469092869,-0.4798810064096038,-0.0,-0.0926454629221179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.71855901581004,-0.0969715529887097,-0.0,1.7851099971870468,-0.2504924213834341
6,-4.48970642734134,-0.0,-1.274380273571336,-0.2657360204592882,-0.0,-0.0502262870927567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.068410759105677,0.5647686511864566,-0.0,4.704333401469472,-0.1379058945063367
7,-9.751313471137836,-0.0,7.907410802994054,-0.5802951337696378,-0.0,-0.1088701269156132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5633604680507034,-0.0,4.565969033874562,6.696056323801666,-0.0,13.537888180766602,-0.2037034316508753
8,-8.141784615427165,-0.0,-2.391765502182014,-0.449348380920394,-0.0,-0.0837741545444551,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.566177241202766,-0.0718481213463273,-0.0,-0.0,-0.1584063603681441
9,18.2364110942232,-0.2952456263285388,-0.6365348026772408,-0.1190835494352227,-0.0,-0.022154770268156,-0.1539541921562976,-0.0,-0.0,-0.0,-0.1334484722787935,-0.0,-0.0895450638687536,-0.0,0.0820226519752672,6.1179476356208005,0.4507644705512273,0.0155026259762032,0.0373162000081828,0.4045245277804505
10,-0.0,-0.0,-0.0,-2.641464819016054,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.080455923339018,-0.0,-0.0,-0.0,-0.0
11,-2.939024080055892,-0.0,-0.0,-0.1724502587331995,-0.0,-0.0361059121568448,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1957325837988327,-0.0,-0.0,2.962731908430964,-0.0,-0.0,5.845436440896701,-0.0576110943594311
12,-12.988582344587956,-0.0,-0.0,-0.6934252878319606,-0.0,-0.146049522058694,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7722931850456798,-0.0,-1.7556856090591555,1.3370566261132184,-0.0,-0.0338275030452155,-0.2350775365011417
13,-5.197421593994335,-0.0,-1.8693035557007336,-0.275053176365822,-0.0,-0.0582042900761556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.961633688816905,4.659280875576357,-0.0,7.760680686306674,-0.1474979530609698
14,-8.594249000174047,-0.0,-0.0,-0.530804326944891,-0.0,-0.1117163483200801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8578470201637679,-0.0,-0.0,-0.0206515720225029,-0.0
15,-0.0,-0.0,-0.0,-1.1297116612352176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.831973618206463,-0.0,-0.0,-0.0,-0.0
16,-5.18621426060084,-0.8453956865663794,-0.0,-0.2957777719755726,-0.0,0.7332879838863033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.309879418303195,-0.0,2.163414941900569,-0.0,-0.0,-0.010983175850608,-0.1605135258508366
17,-7.094077213394161,-0.0,-0.0,-0.3707347321492739,-0.0,-0.0762986671331834,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.955076073328755,-0.0,-0.0,4.135590706502321,-0.129470750369013
18,2.927600130831358,-0.0,-0.0,-0.2956300227194896,-0.0,-0.0602801141849593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1155813385155415,-0.0,2.1758737797164622,-0.0675301694118555,-0.0,2.912275928083345,-0.1593369827560772
19,-5.9124970091834665,-0.0,-0.0,-0.3103352063680067,-0.0,-0.0626897036594149,-0.3998168700032357,-0.0,-0.0,-0.0,-0.0,-0.3353810911488254,-0.0,-0.0,-0.0,10.281175344888505,-0.0,-0.0,-0.0,-0.1662188136780891
20,-5.392098945995759,-0.0,-1.9529381891432005,-0.2885335570835713,-0.0,-0.0571866370829103,-0.3711217247232903,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.30176096100443,-0.0,5.297613384012114,-0.1249876414132689,-0.0,6.017704668383495,-0.1534644987994023
21,-3.835684053266168,-0.0,-0.0,-0.1984623950701549,-0.0,-0.0389577773787604,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.860472167805796,-0.0,-0.3184611941428342,-0.0438672974067609,-0.0,0.7208539148527628,-0.0
22,-3.7188754436277143,-0.0,-1.1404902687463592,-0.213809934563055,-0.0,-0.0415649913671497,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2213567939348645,-0.0,1.6003854671823203,-0.0,-0.0,0.0571837419109311,-0.1130276544199898
23,-3.821304947740189,-0.0,-0.0,-0.3099508077116903,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.35546875,-0.0,-0.0,-0.3493946573561249,-0.0,2.3294949438503285,0.6339033372391618,-0.0675101453557366,0.8935273144428466,-0.162811238848557
144,0.4155121283350561,-0.0,3.1648213194237864,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.455122683824374,-0.0,17.692777555629654,10.015213743318846,-0.0,6.237143266364961,0.2907981835674364
145,2.9535021833172075,-0.1088975831015947,0.4142806910959642,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.046265816264381,-0.0,1.7516744926792367,19.56552141703088,-0.0,38.69072683206548,-0.0
146,29.59029326202937,-0.0,0.4936971309428868,0.1379743366595704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1052689188480712,-0.0,12.089889144765166,31.29580251928177,-0.0,5.036670322290368,-0.0
147,0.5458534700033979,-0.0,3.118215448833213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.25036650721924,-0.0,10.470985568752033,1.7939959275810078,-0.0,-0.0,-0.0
148,7.852792479843249,-0.0,77.21477357443185,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0639406488793556,-0.0,2.2637817367454725,4.996014437214387,-0.0,26.26463498819833,-0.0
149,-2.230194662582877,-0.0,-0.9052389518765236,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1464717375583865,-0.0,4.701969685243959,9.134560987454067,-0.0,-0.0,-0.0
150,-1.0711900613790086,-0.0,-0.7830749819938422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.466823220191913,-0.0,10.705355950296088,8.221358043634844,-0.0,46.69877650020949,-0.0
151,11.111305338089208,-0.0,-0.4688371561228796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1107429422540063,-0.0,2.8235799610347665,2.1905247235749776,-0.0,7.058167330693196,-0.0
152,-0.1471241623980077,-0.0,1.1869271102918433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.426866119486852,-0.0,3.325880964472665,0.4002218815675258,-0.0,3.421301031884917,-0.0
153,17.945550142433344,-0.0,3.964020342323256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.6796116181559857,-0.0,2.680327345438596,10.035789613674568,-0.0,49.74342228034711,-0.0
154,15.287367855080513,-0.0,0.2065558785834997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.6350055973569408,-0.0,2.4664714539767134,0.2238621657857276,-0.0,12.915659092395511,-0.0
155,-0.947489829701838,-0.0,10.139441099661262,-0.0,-0.0,0.3578383463690474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.205006109003789,-0.0,1.8029853247006404,3.983986876589639,-0.0,9.390498042107792,-0.0
156,34.21451113601838,-0.0,-0.6129802166025806,-0.0,0.227854141750237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0492644932100653,-0.0,2.5184402560649195,17.116255347849336,-0.0,7.116086785508721,-0.0
157,4.806193111108424,-0.0,-0.7939104321517676,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.916976635973104,-0.0,8.121433765829728,7.225470700310315,-0.0,3.816571524580697,-0.0
158,-2.0267739715449107,-0.0,-0.9061109811187228,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0768510097848381,-0.0,3.75189293115897,4.406661723623117,-0.0,0.8447210844862981,-0.0
159,5.5303394065296,-0.0,0.2060822904464548,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0778020818378741,-0.0,11.855276171231464,3.2008864847503125,-0.0,0.8464017549502412,-0.0
160,0.5128346801822274,-0.0,7.342403266805776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0457803319782515,-0.0,2.192200276086921,2.029590635500456,-0.0,36.14998165266089,-0.0
161,0.5242586144417003,-0.0,-0.7576322129632777,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.067290203708153,-0.0,3.19087436378723,7.383306610455024,-0.0,3.707046754547732,-0.0
162,0.3050178951882619,-0.0,-0.4301863746921467,-0.0,-0.0,-0.0162929579838578,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.25726653228751,-0.0,1.8182198976582928,0.1724174650062248,-0.0,21.760724787103975,-0.0
163,0.3391229774186329,-0.0,0.2070637469416023,-0.0,-0.0,-0.0,-0.0,-0.0,0.4698650389850667,-0.0,-0.0,-0.0,-0.0,1.1862895470953958,-0.0,1.9808446940132416,27.70921722970826,-0.0,16.23814857665593,-0.0
164,0.664988771603601,-0.1574007001278502,8.775383594009625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.449608654649682,-0.0,2.637648042184484,0.2562064811699415,-0.0,21.551170199240172,-0.0
165,-2.5890307639383456,-0.0,-1.2495709515928333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.231822891492186,-0.0,5.398037419577927,97.1985006465,-0.0,15.087050552677963,-0.0
166,-2.141895270020151,-0.0,1.110402731647179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1022148952817819,-0.0,4.234602807696352,17.44880465554181,-0.0,-0.0,-0.0
167,0.7993179420421683,-0.0,-0.7048881414482021,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8365375884573416,-0.0,3.0714542986034843,0.3012620656134239,-0.0,3.5623778393413343,-0.0
168,1.5261537617237586,-0.0,-0.8351625543920748,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0905926577185334,-0.0,3.651998688163464,0.3584842698708118,-0.0,0.8450679057489003,-0.0
169,1.515831613677893,-0.0,-0.8201053094647608,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0899693306274584,-0.0,3.598754916030675,0.353541581306487,-0.0,0.8325520279862249,-0.0
