,history,physics,university,computer,research,rochester,ub,engineering,science,award,professor,faculty,buffalo,disability,war,ieee,arts,var,quantum,matter
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test40.csv,-0.0,-11.764268735326802,-12.043511216423544,0.9305507925321006,-5.888240395130931,12.394936240193736,-0.0,6.81998980139166,-2.701670714137459,-0.0,-0.44332136771512926,-1.1717362513496343,-0.0,-0.0,-0.0,-0.0,-1.8723312736972746,-0.0,-0.0,3.0269199525098505
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test41.csv,-0.0,9.429108870889095,10.515842469835254,-0.0,-6.04568423299916,14.068669997492442,-0.0,-0.6538129275451998,-1.8635712972130862,-0.0,1.1667149155268237,-0.7395933855031075,-0.0,-0.0,-0.0,-0.0,-1.1755748777791666,-0.0,5.231212956447548,5.593879423542958
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test42.csv,-0.0,20.621703571816667,3.7243095255187453,-0.0,-0.0,11.833202555059618,-0.0,-0.0,-1.5584172001894827,0.3488376757216188,41.62536584662724,-0.619627059283594,-0.0,-0.0,-0.0,-0.0,-0.9799558543910979,-0.0,-0.0,4.7128226468992525
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test43.csv,-0.0,-20.186481462887038,-16.756943024312914,-0.0,-0.0,16.75614922932952,-0.0,-0.0,-0.0,-0.0,-0.7651023838960654,-1.5597566102277218,-0.0,-0.0,-0.0,-0.0,-2.454568740090471,-0.0,-0.0,4.1526517117034585
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test44.csv,-0.0,29.004556923602387,-1.2588310072379538,-0.0,-4.455523565060835,16.6145067721616,-0.0,-0.0,10.19375421346968,5.802492422113809,4.204093622581315,-1.4825899511562843,-0.0,-0.0,-0.0,-0.0,-0.8665260925315651,-0.0,18.483904755338052,1.4853820497529886
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test45.csv,-0.0,91.1948218753287,8.299209522910825,-0.0,-1.830488465194145,5.887506276003597,-0.0,-0.0,-0.7598316802639065,-0.2617649624471834,21.363081015611215,-0.3039351094433465,-0.0,-0.0,-0.0,-0.0,-0.03216069545240512,-0.0,-0.0,0.8248496662901794
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test46.csv,-0.0,-9.460274459544548,11.988624412095362,-0.0,-5.937276058913709,8.5050823833338,-0.0,-0.0,-0.0,-0.0,6.01418507020678,-0.7763775881141866,-0.0,-0.0,-0.0,-0.0,-1.2020797441828375,-0.0,-0.0,2.126152956253293
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test47.csv,-0.0,10.540026136803249,4.253673943649877,-0.0,-4.3926638249505165,14.366516862663621,-0.0,-0.0,-0.0,-0.0,0.6713745433922221,-2.1984800486991656,-0.0,-0.0,-0.0,-0.0,-1.1322907102928501,-0.0,0.04347443572880503,11.174702972939265
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test48.csv,-0.0,14.728123196978132,19.331773001748218,-0.0,-5.427633462077749,7.597415255144639,-0.0,-0.0,-1.824159266172916,-0.0,17.126083222551717,-2.0486616776710878,-0.0,-0.0,-0.0,-0.0,-1.0519897984881135,-0.0,-0.0,5.394876767188659
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test49.csv,-0.0,15.915458730593606,-4.112645331943179,-0.0,2.8706689307409516,7.50908485290423,-0.0,-0.0,-0.0,-0.5793188033980384,1.200241488426651,-0.6722787796550903,-0.0,-0.0,-0.0,-0.0,-1.0291146915001967,-0.0,-0.0,1.9043683170539587
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test5.csv,21.511327652069934,-0.0,-3.7731017753884095,-0.0,-6.256894334612108,-0.4586280074569935,-0.0,-0.5119365252544035,-2.042909797320827,-0.0,-0.3561592110103381,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2419994396714702,-0.0,-0.0,-0.0
